"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"450","judge",5,3.61,3,4,3,1,"Noun"
"451","juice",5,3.14,1,13,3,1,"Noun"
"452","junior",6,3.26,0,0,5,2,"Adjective"
"453","jury",4,3.34,4,2,4,2,"Noun"
"454","just",4,5.38,8,10,4,1,"Adverb"
"455","keep",4,4.55,9,24,3,1,"Verb"
"456","key",3,3.65,3,23,2,1,"Noun"
"457","keys",4,3.42,1,27,3,1,"Noun"
"458","kick",4,3.57,10,23,3,1,"Verb"
"459","kicked",6,3.19,6,11,4,1,"Verb"
"460","kid",3,4.24,8,18,3,1,"Noun"
"461","kidding",7,3.83,2,12,5,2,"Verb"
"462","kill",4,4.36,13,30,3,1,"Verb"
"463","killer",6,3.51,4,16,4,2,"Noun"
"464","killing",7,3.6,6,14,5,2,"Verb"
"465","kills",5,3.01,7,21,4,1,"Verb"
"466","kinds",5,3.05,5,5,5,1,"Noun"
"467","king",4,3.82,8,16,3,1,"Noun"
"468","kiss",4,3.79,5,14,3,1,"Verb"
"469","kissing",7,3.08,2,7,5,2,"Verb"
"470","kitchen",7,3.47,0,0,5,2,"Noun"
"471","kitty",5,3.13,2,10,4,2,"Name"
"472","knees",5,3.12,1,27,3,1,"Noun"
"473","knew",4,4.27,3,36,2,1,"Verb"
"474","knife",5,3.38,0,9,3,1,"Noun"
"475","knocked",7,3.1,1,11,4,1,"Verb"
"476","know",4,5.47,4,33,2,1,"Verb"
"477","knowing",7,3.36,1,7,4,2,"Verb"
"478","knowledge",9,3.11,0,1,5,2,"Noun"
"479","ladies",6,3.85,0,2,5,2,"Noun"
"480","lady",4,4.04,3,10,4,2,"Noun"
"481","laid",4,3.18,9,33,3,1,"Verb"
"482","land",4,3.65,11,16,4,1,"Noun"
"483","late",4,4.14,17,31,3,1,"Adjective"
"484","lately",6,3.39,0,1,5,2,"Adverb"
"485","later",5,4.17,7,21,4,2,"Adverb"
"486","law",3,3.77,12,15,2,1,"Noun"
"487","lawyer",6,3.61,1,3,4,2,"Noun"
"488","lead",4,3.63,12,42,3,1,"Verb"
"489","leader",6,3.2,6,20,4,2,"Noun"
"490","leads",5,3,8,17,4,1,"Verb"
"491","learn",5,3.78,1,18,3,1,"Verb"
"492","learning",8,3.02,1,8,5,2,"Verb"
"493","least",5,4.03,6,14,4,1,"Adverb"
"494","leaving",7,3.86,6,9,5,2,"Verb"
"495","led",3,3.09,11,25,3,1,"Verb"
"496","left",4,4.39,5,11,4,1,"Verb"
"497","leg",3,3.46,12,13,3,1,"Noun"
"498","legal",5,3.26,1,1,5,2,"Adjective"
